ADJACÊNCIA	PESO
13 -> 1 		 5
7 -> 2 		 2
9 -> 3 		 5
18 -> 4 		 2
3 -> 5 		 1
45 -> 6 		 1
18 -> 7 		 1
16 -> 8 		 2
30 -> 9 		 4
48 -> 10 		 3
44 -> 11 		 3
7 -> 12 		 2
21 -> 13 		 4
0 -> 14 		 2
47 -> 15 		 1
13 -> 16 		 4
11 -> 17 		 2
45 -> 18 		 3
39 -> 19 		 7
9 -> 20 		 4
2 -> 21 		 4
17 -> 22 		 2
45 -> 23 		 1
22 -> 24 		 6
10 -> 25 		 4
37 -> 26 		 6
44 -> 27 		 1
48 -> 28 		 4
36 -> 29 		 1
6 -> 30 		 2
16 -> 31 		 3
5 -> 32 		 6
13 -> 33 		 3
5 -> 34 		 4
38 -> 35 		 1
39 -> 36 		 5
28 -> 37 		 1
48 -> 38 		 1
46 -> 39 		 5
44 -> 40 		 7
49 -> 41 		 2
29 -> 42 		 5
33 -> 43 		 3
15 -> 44 		 1
36 -> 45 		 4
10 -> 46 		 2
33 -> 47 		 4
14 -> 48 		 3
20 -> 49 		 1
