ADJACÊNCIA	PESO
8 -> 1 		 2
25 -> 2 		 8
7 -> 3 		 2
21 -> 4 		 3
28 -> 5 		 1
21 -> 6 		 4
30 -> 7 		 1
14 -> 8 		 3
18 -> 9 		 2
25 -> 10 		 3
22 -> 11 		 2
11 -> 12 		 6
30 -> 13 		 9
34 -> 14 		 3
39 -> 15 		 4
21 -> 16 		 3
6 -> 17 		 8
39 -> 18 		 4
26 -> 19 		 3
33 -> 20 		 9
26 -> 21 		 3
18 -> 22 		 1
28 -> 23 		 4
3 -> 24 		 1
30 -> 25 		 3
5 -> 26 		 3
1 -> 27 		 1
1 -> 28 		 2
10 -> 29 		 5
14 -> 30 		 4
9 -> 31 		 6
4 -> 32 		 1
0 -> 33 		 4
0 -> 34 		 2
36 -> 35 		 2
10 -> 36 		 4
9 -> 37 		 2
27 -> 38 		 4
10 -> 39 		 3
